Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2022/204,Quantitative evaluation of COVID-19 national testing services in England,"Richard Creswell, University of Oxford
Sumali Bajaj, University of Oxford
Siyu Chen, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Covid-19 Infection Survey, Covid-19 Infection Survey linked to NHS Test and Trace, Covid-19 Schools Infection Survey, Covid-19 Schools Infection Survey linked with Test and Trace",Office for National Statistics Secure Research Service,12/19/2022
2022/205,UK Regional Inequality,"Anna Stansbury, Massachusetts Institute of Technology",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Longitudinal, Labour Force Survey Person",Office for National Statistics Secure Research Service,12/20/2022
2023/016,Evaluation of DCMS Grant Funding for Tech Nation,"Thomas Baily, Frontier Economics Ltd
Nayim Kareem, Department for Digital, Culture, Media and Sport (DCMS)
Samuel Hainsworth, Department for Digital, Culture, Media and Sport (DCMS)
Kirsty Gardiner, Tech City UK
Alex Bjorkegren, Department for Digital, Culture, Media and Sport (DCMS)
Vladislava Bar-Katz, Frontier Economics Ltd
Federico Cilauro, Frontier Economics Ltd
Margherita Serena Ferrara, Frontier Economics Ltd",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,2023-01-18
2023/042,Understanding the drivers of UK innovation diffusion at the firm level,"Alice Pugh, HM Treasury
Barney Evans, HM Treasury
Kyle Jones, Office for National Statistics
Matthew Campsie, HM Treasury",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Insights and Conditions Survey - UK, Management and Expectations Survey - Great Britain, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,2023-03-06
2023/043,Household background of children with special educational needs,"Hamish Anderson, Office for National Statistics
Holly Bathgate, Office for National Statistics
Nathan Cadogan Clark, Office for National Statistics
Cara Evans, Office for National Statistics",Digital Economy Act (2017),"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Children in Need, Children Looked After, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",Office for National Statistics Secure Research Service,2023-03-09
2023/002,Enabling Age­Friendly Retail Environments for Healthy Ageing,"Anthony Ijeh, DASCROSE Limited",Digital Economy Act (2017),Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,Office for National Statistics Secure Research Service,2023-01-03
2023/062,The Household-Level Impacts of UK Fiscal Policy,"Sam Van De Schootbrugge, University of Nottingham
Atsuyoshi Morozumi, University of Nottingham",Digital Economy Act (2017),Office for National Statistics: Effects of Tax and Benefits - UK,Office for National Statistics Secure Research Service,2023-04-05
2023/011,"Comparing policies, outcomes and inequalities across UK post-16 education and training landscapes","Luke Sibieta, Education Policy Institute
David Robinson, Education Policy Institute
Natalie Perera, Education Policy Institute
David Laws, Education Policy Institute
Samuel Tuckett, Education Policy Institute",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - EnglandDfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-01-30
2023/017,The Relative Earnings Advantage of a Joint Honours Degree,"Louise Richards, University of Derby
Andrew Moore, University of Derby",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-01-30
2023/015,The long-run labour market impacts of 1970s and 1980s UK deindustrialisation,"Alexander Davenport, University of Cambridge
Alison Sizer, University of London - University College",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study - England and WalesOffice for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-01-17
2023/067,Skills and Employment in London,"Chris Rocks, Greater London Authority
Nicholas Jacob, Greater London Authority
Ruth Moxon, Greater London Authority
Hector Espinoza, Greater London Authority",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-04-19
2023/019,The long-run impact of the Education Maintenance Allowance,"Jack Britton, Institute for Fiscal Studies
Ben Waltmann, Institute for Fiscal Studies",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-01-20
2023/018,Understanding the labour market value of qualifications across both higher and further education and its implications on social mobility,"Pallavi Banerjee, University of Exeter",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-02-03
2023/001,Retirement pensions and disability insurance for the 21st century,"Vinicius De Lima, Institute for Fiscal Studies
Tomasz Zawisza, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Household - UK, Annual Population Survey - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK",Office for National Statistics Secure Research Service,2023-01-03
2023/021,The potential of lagging regions in Green Skills,"Carlo Corradini, University of Reading
David Morris, University of Nottingham",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings - UK,Office for National Statistics Secure Research Service,2023-01-19
2023/005,The economic return to diversity in economics,"Elaine Drayton, Institute for Fiscal Studies
Arun Advani, University of Warwick
Damian Phelan, University College London",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-01-19
2023/038,Changing hours of work in the United Kingdom,"Rachel Elizabeth Scarfe, The University of Edinburgh",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Labour Force Survey Person - UK, New Earnings Survey - Great Britain",Office for National Statistics Secure Research Service,2023-03-02
2023/035,School Exclusion and Educational and Labour Market Outcomes,"Duncan McVicar, Queen's University Belfast
Neil Rowland, Queen's University Belfast
Dermot O'Reilly, Queen's University Belfast
Babak Jahanshahi, Queen's University Belfast
Ana Corina Miller, Queen's University Belfast",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-03-05
2023/020,Falling sideways? Social status and the true nature of elite downward mobility in Britain,"Robert De Vries, University of Kent",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey Person - UK,Office for National Statistics Secure Research Service,2023-01-19
2023/048,Examination of loneliness reported by UK adults 2018 - 2023,"Heather McClelland, University of Glasgow",Digital Economy Act (2017),Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,Office for National Statistics Secure Research Service,2023-03-21
2023/064,Businesses' demography and investment,"Eliza Da Silva Gomes, National Institute for Economic and Social Research",Digital Economy Act (2017),"Office for National Statistics: Annual Respondents Database x - UK, Business Structure Database Longitudinal - UK, Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-04-11
2023/060,Monitoring business conditions in low-paying sectors,"Ronia Salman-Lord, Low Pay Commission
Timothy Butcher, Low Pay Commission
Eduin Latimer, Low Pay Commission
Kevin Wrake, Low Pay Commission",Digital Economy Act (2017),Office for National Statistics: Business Insights and Conditions Survey - UK,Office for National Statistics Secure Research Service,2023-03-31
2023/010,Partnership for People and Places Programme Evaluation,"Madison Kerr, IPSOS MORI
Jaimin Shah, IPSOS MORI
Stephen McSwiney, IPSOS MORI",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Business Structure Database - UK, Annual Population Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,2023-01-11
2023/034,Educational and labour market outcomes associated with vocational education pathways during Key Stage 4 using the Longitudinal Education Outcomes data,"Aidan Tolland, Office for National Statistics
Holly Bathgate, Office for National Statistics
Nathan Cadogan Clark, Office for National Statistics
Cara Evans, Office for National Statistics
James Tierney, Office for National Statistics",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-03-07
2023/050,The effects of UK ODI on the home economy,"Thomas Sampson, London School of Economics
Tzvetan Moev, London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",Office for National Statistics Secure Research Service,2023-04-04
2023/028,Distributional Effect of Innovation,"Andi Widianto, Loughborough University",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK, New Earnings Survey - Great Britain",Office for National Statistics Secure Research Service,2023-02-10
2023/003,Wales Fiscal Analysis – Labour Market Trends,"Larissa Peixoto Vale Gomes, Cardiff University",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Person - UK, Vacancy Survey - UK",Office for National Statistics Secure Research Service,2023-01-04
2023/058,"Differences in careers by ethnicity, nationality, and social class.","Alan Manning, London School of Economics
Rebecca Rose, London School of Economics and Political Science
Teresa Hall, London School of Economics and Political Science",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,2023-04-05
2023/046,Local far-right support and immigrants' location choices in the UK,"Jonas Kaufmann, University of Essex",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey - UK,Office for National Statistics Secure Research Service,2023-03-20
2023/022,Estimating the effect of online food delivery platforms on consumers and businesses,"Javad Shamsi, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK
Department for Business, Energy & Industrial Strategy: Longitudinal Small Business Survey - UK",Office for National Statistics Secure Research Service,2023-01-23
2023/037,Assessing the impact of the NLW using machine-learning classification,"Pietro Patrignani, London Economics
Lucy Manly, London Economics
James Forrester, London Economics
Su Min Lee, London Economics",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-03-02
2023/039,The Role of Social Closure in Class Background Inequality in Early Occupational Careers,"Dirk Witteveen, University of Oxford - Sociology",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,2023-03-03
2023/033,University Competition and Regulation in the UK Higher Education Market,"Sidharth Moktan, London School of Economics
Lin Fan, London School of Economics and Political Science",Digital Economy Act (2017),University and Colleges Admission Service: Universities and Colleges Admissions Service - UK,Office for National Statistics Secure Research Service,2023-02-16
2023/027,Further education teaching workforce salary comparison research,"Jenna Julius, National Foundation for Educational Research
Jack Worth, National Foundation for Educational Research
Dawson McLean, National Foundation for Educational Research
Henry Faulkner-Ellis, National Foundation for Educational Research
Juan Del Pozo Segura, National Foundation for Educational Research",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK,Office for National Statistics Secure Research Service,2023-02-07
2023/049,Further Education Colleges and the ‘Levelling Up’ Agenda,"Matt Dickson, University of Bath
Michael Donnelly, University of Bath
Joanne Davies, University of Bath",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-03-23
2023/031,Monopsony and minimum wages,"Danail Popov, Frontier Economics Ltd
Maria Guijon, Frontier Economics Ltd
Jonathan Wadsworth, University of London - Royal Holloway
Katharine Lauderdale, Frontier Economics Ltd
Ronia Salman-Lord, Low Pay Commission
Timothy Butcher, Low Pay Commission
Eduin Latimer, Low Pay Commission",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Annual Population Survey - UK, Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-02-13
2023/023,Estimating the effect of online food delivery platforms on businesses using BSD,"Javad Shamsi, London School of Economics",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,2023-01-23
2023/029,Sustainable Living: Opinions and Lifestyle Survey Analysis of Attitudes and Behaviours,"Shimaa Elkomy, University of Surrey",Digital Economy Act (2017),Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,Office for National Statistics Secure Research Service,2023-02-10
2023/036,Accelerating Wellbeing Data Analysis,"Shimaa Elkomy, University of Surrey",Digital Economy Act (2017),"Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics: Opinions and Lifestyle Survey - Great Britain
Department for Levelling Up, Housing & Communities: Statutory Homelessness Flows - England",Office for National Statistics Secure Research Service,2023-02-24
2023/065,Skills at workplace and pay progression,"Wenchao Jin, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, Annual Business Survey - UK, Annual Respondents Database x - UK, Management and Expectations Survey - Great Britain
Department For Education: Employer Skills Survey and Investment in Training - UK
Department for Business, Energy & Industrial Strategy: Workplace Employment Relations Survey - Great Britain, UK Innovation Survey",Office for National Statistics Secure Research Service,2023-04-18
2023/047,Fiscal impact of migration,"Jennifer Smith, University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-03-23
2023/051,Dynamics of Climate Policy,"Ara Jo, University of Bath",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK, Annual Purchases Survey - UK, Annual Respondents Database x - UK
Department for Business, Energy & Industrial Strategy: Quarterly Fuels Inquiry - UK",Office for National Statistics Secure Research Service,2023-03-23
2023/057,Refugee Integration Outcomes Study- Full Scale Data-Linking Cohort Study,"Edward Eaton, Home Office
Chiara Manzoni, Home Office
Meryn Brown, Home Office
Raoul Hodgson, Home Office
Caroline Peate, Home Office",Digital Economy Act (2017),Home Office; NHS: Bespoke Refugee Integration Outcomes Cohort Study – England & Wales,Office for National Statistics Secure Research Service,2023-04-04
2023/025,Explore Relationships Between Protected Characteristics Groups and the Labour Market,"Jess Lea, HMRC
Andrew Gibson, HMRC
Pamilla Kang, HMRC",Statistics and Registration Services Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021s Act 2007 (SRSA) - Approved Researcher Gateway: added data after 9 September 2021,Office for National Statistics: Census 2021 England and Wales,Integrated Data Service,2023-01-31
2023/032,"Environmental quality, residential mobility, and human capital","Lorenzo Neri, University of St Andrews
Ludovica Gazze, University of Warwick",Digital Economy Act (2017),Office for National Statistics: Business Structure Database,Office for National Statistics Secure Research Service,2023-02-15
2023/040,Female Councillors and Domestic Violence,"Zhou Zhou, University of Glasgow
Tanya Wilson, University of Glasgow
Wenya Cheng, University of Glasgow",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2023-03-03
2023/007,A study of the relative protection against transmission of type 1 diabetes amongst the offspring of mothers with type 1 diabetes,"Lowri Allen, Cardiff University
Colin Dayan, Cardiff University
Jim Rafferty, Swansea University
Rebecca Thomas, Swansea University",Digital Economy Act (2017),SAIL Databank: 2011 Census Data,SAIL Databank,2023-01-22
2023/052,Dynamics of Preferences and Social Geography,"Yujung Hwang, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings,Office for National Statistics Secure Research Service,2023-03-27
2023/063,Impact of food consumption on births and newborns health conditions,"Claudia Rei, University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Births Registrations in England and Wales, Deaths Registrations in England and Wales",Office for National Statistics Secure Research Service,2023-04-18
2023/009,"Trade, Brexit and Firm Performance","Enrico Longoni, Bank of England
Rebecca Freeman, Bank of England
Thomas Sampson, London School of Economics
Marco Garofalo, Bank of England
Thomas Prayer, University of Cambridge
Kalina Manova, University of London - University College
Rebecca Maria Mari, Bank of England
Rositsa Chankova, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Foreign Direct Investment Survey - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, Business Structure Database Longitudinal - UK, Foreign Direct Investment Index - UK, International Trade in Services - UK, UK Manufacturers’ Sales by Product Survey, Management and Expectations Survey - Great Britain
Bank of England: Decision Maker Panel - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,2023-01-11
2023/030,The effect of inward foreign direct investment on regional productivity and firm dynamics.,"Rui Miguel Vieira Marques da Costa, London School of Economics
Swati Dhingra, Bank of England
Josh De Lyon, London School of Economics
Shania Bhalotia, London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, Business Structure Database - UK, International Trade in Services - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK, Business Enterprise Research and Development - Great Britain, Quarterly Capital Expenditure Survey - UK, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,2023-02-22
2023/004,Educational pathways and outcomes for children who are looked after: a population-scale data linkage study,"Emily Lowthian, Swansea University
Ashley Akbari, Swansea University
Stuart Bedston, Swansea University
Alex Lee, Swansea University
Tom Crick, Swansea University
Lucy Griffiths, Swansea University",Digital Economy Act (2017),SAIL Databank: 2011 Census Data,SAIL Databank,2023-01-06
2023/061,New research and improving research capability on economic growth and productivity,"Agnes Norris Keiller, London School of Economics
John Van Reenen, London School of Economics
Paul Mizen, University of Nottingham
Russell Black, Office for National Statistics
Takafumi Kawakubo, London School of Economics
Jakob Schneebacher, Competition and Markets Authority
Ioannis Galanakis, King's College London
Aureo De Paula, University College London
Anthony Savagar, University of Kent
Thomas Wickersham, Office for National Statistics
Rabiya Nasir, Office for National Statistics
Kyle Jones, Office for National Statistics
Oluwatobiloba Ayodele, Office for National Statistics
Christina Palmou, Office for National Statistics
Charlotte Meng, Queen Mary University of London
Elizabeth Taylor, Office for National Statistics",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce Survey - UK, Investment in Intangible Assets Survey - UK, Monthly Business Survey - UK, Management Practices Survey - Great Britain, Vacancy Survey - UK, Monthly Wage and Salary Survey - Great Britain, Annual Survey of Goods and Services - UK, Management and Expectations Survey - Great Britain, Monthly Business Survey for Construction and Allied Trades - Great Britain, Business Insights and Conditions Survey - UK, Monthly Production Inquiry - UK, Short Term Employment Survey - Great Britain, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK, Annual Purchases Survey - UK, RETIRED Mergers and Acquisitions Survey - UK, Monthly Inquiry into the Distributive and Services Sector - UK, Annual Foreign Direct Investment Survey - UK, International Trade in Services - UK, Labour Force Survey Longitudinal - UK, Quarterly Capital Expenditure Survey - UK, Annual Survey of Hours and Earnings - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey, Longitudinal Small Business Survey - UK
Bank of England: Decision Maker Panel - UK",Office for National Statistics Secure Research Service,2023-04-13
2023/006,Ethnic Minority British Election Study pilot,"Martin Nicole, University of Manchester",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey,Office for National Statistics Secure Research Service,2023-01-13
2023/008,A Study of Elite Mobility in Britain,"Inga Steinberg, University of Oxford
Erzsébet Bukodi, University of Oxford",Digital Economy Act (2017),Office for National Statistics: Quarterly Labour Force Survey,Office for National Statistics Secure Research Service,2023-01-13
2023/012,The Impact of UK Maternity Leave and Pay Reforms on Families,"Clara von Bismarck-Osten, Institute for Fiscal Studies
Sarah Cattan, Institute for Fiscal Studies",Digital Economy Act (2017),Office for National Statistics: Quarterly Labour Force Survey,Office for National Statistics Secure Research Service,2023-01-13
2023/013,Study of the economic impact of international students' influx - A cultural industry perspective,"Yuheng Lin, University of Dundee
Yu Zhu, University of Dundee
Dooruj Rambaccussing, University of Dundee",Digital Economy Act (2017),Office for National Statistics: Quarterly Labour Force Survey,Office for National Statistics Secure Research Service,2023-01-16
2023/014,The resource misallocation in the UK manufacturing industries in the presence of R&D externality,"Kun Li, Cardiff Business School
Helmuts Azacis, Cardiff Business School",Digital Economy Act (2017),"Office for National Statistics: Business Expenditure on Research and Development, Business Structure Database, Business Structure Database Longitudinal, Annual Business Survey, UK Innovation Survey",Office for National Statistics Secure Research Service,2023-01-16
2023/024,Does environmental Activity Pay Off? Evidence from the most innovative UK firms,"Fankun Meng, Cardiff University
Qian Li, Cardiff Business School
Maksim Belitski, Henley Business School",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, UK Innovation Survey",Office for National Statistics Secure Research Service,2023-02-24
2023/026,Post-primary school size and educational outcomes in Northern Ireland,"IJpelaar Jos, Northern Ireland Statistics and Research Agency (NISRA),
John Hughes, Northern Ireland Statistics and Research Agency (NISRA),
Carmel Colohan, Northern Ireland Statistics and Research Agency (NISRA)",Digital Economy Act (2017),"Northern Ireland Statistics and Research Agency:
Northern Ireland School Census,
Northern Ireland School Leavers Survey
Northern Ireland Exams Database",Northern Ireland Statistics and Research Agency,2023-02-02
2023/041,Female managers and gender differences in earnings growth,"John Forth, University of London
Alex Bryson, University College London
Carl Singleton, University of Reading",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Workplace Employment Relations Survey",Office for National Statistics Secure Research Service,2023-03-03
2023/044,The effects of ICT investment on energy efficiency in UK firms,"Shi Yao, University of Sussex
Timothy Foxon, University of Sussex",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database",Office for National Statistics Secure Research Service,2023-03-08
2023/053,Developing a Careers Labour Market Information (LMI) Data Tool,"Jeisson Cardenas-Rubio, University of Warwick
Luke Bosworth, University of Warwick
Rosie Day, University of Warwick
Terence Hogarth, University of Warwick
Rob Wilson, University of Warwick
David Owen, University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey",Office for National Statistics Secure Research Service,2023-03-23
2023/054,Estimating the effect of online food delivery apps on businesses,"Mohammadjavad Shamsi, London School of Economics and Polictical Science",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database, Annual Business Survey, Annual Survey of Hours and Earnings",Office for National Statistics Secure Research Service,2023-04-06
2023/055,The role of the minimum wage for individual labour market state transitions in the UK,"Patrick Arni, University of Bristol
Arnaud Chevalier, University of London
Ryan Papale, University of Bristol",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey, Labour Force Survey Five-Quarter Longitudinal Dataset",Office for National Statistics Secure Research Service,2023-03-23
2023/056,Ethnic and religious inequalities in children's social services in Wales: Patterns and outcomes,"Sin Yi Cheung, Cardiff University
Lucy Griffiths, Swansea University
Grace Bailey, Swansea University
Yongchao Jing, Cardiff University
Jonathan Scourfield, Cardiff University",Digital Economy Act (2017),SAIL Databank: 2011 Census,SAIL Databank,2023-03-24
2023/059,Immigration backlash: the political consequences of open borders,"Mohammadjavad Shamsi, London School of Economics and Political Science",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Five-Quarter Longitudinal Dataset, Labour Force Survey Two-Quarter Longitudinal Dataset, Labour Force Survey Household Datasets, Quarterly Labour Force Survey, Annual Population Survey",Office for National Statistics Secure Research Service,2023-03-30
2023/066,Vaccination heterogeneity within social networks,"Christopher Jewell, University of Lancaster
Cían Ryan, University of Lancaster",Digital Economy Act (2017),"Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
ONS; University of Oxford; DHSC: COVID-19 Infection Survey linked to NHS Test and Trace - England
Department of Health and Social Care: Schools Daily Contact Testing - England
Office for National Statistics: Opinions and Lifestyle Survey - Great Britain, COVID-19 Vaccine Opinions Survey - England, Labour Force Survey Household - UK, COVID-19 Schools Infection Survey - England, COVID-19 Schools Infection Survey linked with Test and Trace - England
UKHSA: NHS Test and Trace - England and Wales
Office for National Statistics, University of Oxford: COVID-19 Infection Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,2023-05-02
2023/069,The economic and socio-economic impacts of trade on the UK labour market,"Michael Gasiorek, University of Sussex
James Black, University of Strathclyde
Nicolo Tamberi, University of Sussex
Mairi Spowage, University of Strathclyde
Gioele Figus, University of Strathclyde
Calum Fox, University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Purchases Survey - UK, International Trade in Services - UK, UK Manufacturers’ Sales by Product Survey, Annual Survey of Goods and Services - UK, Business Structure Database - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",Office for National Statistics Secure Research Service,2023-05-09
2023/070,The economic and socio­economic impacts of trade on the UK labour market (Census Data),"James Black, University of Strathclyde
Michael Gasiorek, University of Sussex
Calum Fox, University of Strathclyde
Nicolo Tamberi, University of Sussex
Mairi Spowage, University of Strathclyde
Gioele Figus, University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",Office for National Statistics Secure Research Service,2023-05-09
2023/071,Evaluation of planning policy to regulate takeaway food outlets for improved health in England,"Daniel Derbyshire, University of Exeter",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-05-09
2023/075,Mapping innovation-related interactions with public sector,"Rowena Crawford, Frontier Economics Ltd
Andrew Leicester, Frontier Economics Ltd
David Pakozdi, Frontier Economics Ltd",Digital Economy Act (2017),"Department for Business, Energy & Industrial Strategy: UK Innovation Survey",Office for National Statistics Secure Research Service,2023-05-24
2023/076,AD|ARC (Administrative Data Agri-Research Collection): Linking Individual and Farm Level Data for Agricultural Research,"Nicholas Webster, Welsh Government
Sian Morrison-Rees, Swansea University
Katherine Addison, Welsh Government
Richard McFerran, Welsh Government",Digital Economy Act (2017),"Department for Environment, Food & Rural Affairs: Bespoke Admin Data: Agricultural Research Collection - England",Office for National Statistics Secure Research Service,2023-05-24
2023/077,Agglomeration across European economies,"Henry Overman, London School of Economics
Mimosa Distefano, London School of Economics
Paul Brandily, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK, Annual Business Survey - UK, Annual Respondents Database x - UK, Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-05-24
2023/078,Labour market inequality and the effects of government policy,"Mary Patricia Reader, London School of Economics and Political Science",Digital Economy Act (2017),Office for National Statistics: 2011 Census linked to Benefits and Income - England and Wales,Office for National Statistics Secure Research Service,2023-06-02
2023/079,Evaluation of the Creative Scale Up Pilot Programme,"Glenn Donnelly, RSM UK",Digital Economy Act (2017),Office for National Statistics: Business Structure Database Longitudinal - UK,Office for National Statistics Secure Research Service,2023-06-02
2023/080,Socioeconomic inequalities of access to higher­tariff UK universities in 2020,"Charlotte Branchu, University of Liverpool
Vikki Boliver, University of Durham",Digital Economy Act (2017),University and Colleges Admission Service: Universities and Colleges Admissions Service - UK,Office for National Statistics Secure Research Service,2023-06-02
