Record ID,record_linkage,matched_products,record_linkage_component_domains,dataset_collection_types,dataset_units,researcher_sectors
2024/241,No record linkage,,,cohort,business,academic
2024/229,No record linkage,,,survey,business,government
2024/243,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/251,No record linkage,,,survey; administrative,business,academic
2025/016,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial; unclassified
2024/238,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/227,No record linkage,,,,,academic
2024/257,No record linkage,,,administrative,business,unclassified
2025/017,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic; commercial
2024/231,No record linkage,,,survey,household,government
2024/224,Cross-domain record linkage,Administrative Data | Agricultural Research Collection (AD|ARC),Migration & Demographics; Environment & Agriculture,administrative,business,academic; government
2024/245,No record linkage,,,cohort,individual,academic
2024/219,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2024/234,No record linkage,,,survey,individual,academic
2024/240,No record linkage,,,administrative,business,commercial
2025/008,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/012,No record linkage,,,survey; administrative,individual; business,third-sector
2024/237,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/005,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2024/222,No record linkage,,,cohort; administrative,household; business,academic
2024/252,No record linkage,,,survey,business,academic
2024/220,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2025/002,No record linkage,,,administrative,individual,unclassified
2024/216,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/239,Within-domain record linkage,Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual,academic
2024/248,No record linkage,,,survey,household,commercial
2024/259,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2024/249,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2024/242,No record linkage,,,cohort,business,third-sector
2025/004,No record linkage,,,survey,individual,academic
2024/212,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2024/218,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2024/213,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2024/230,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/255,No record linkage,,,survey,household,unclassified
2025/020,No record linkage,,,survey,business,third-sector
2024/258,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual; business,third-sector
2025/001,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/228,No record linkage,,,survey; administrative,individual; business,academic
2024/221,No record linkage,,,cohort,individual,academic; government
2025/013,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; commercial
2024/236,Cross-domain record linkage,Administrative Data | Agricultural Research Collection (AD|ARC); Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics; Environment & Agriculture,survey; administrative,individual; business,academic; government
2024/215,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/018,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2024/254,No record linkage,,,cohort,individual,academic; government
2024/226,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/011,No record linkage,,,cohort,household,third-sector
2025/003,No record linkage,,,survey,individual,third-sector
2025/021,No record linkage,,,survey,individual,academic; government
2025/041,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/030,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/036,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/022,No record linkage,,,survey; administrative,business,commercial
2025/051,No record linkage,,,cohort,individual,academic
2025/046,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/065,No record linkage,,,survey; administrative,individual; business,academic
2025/045,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/035,No record linkage,,,survey; cohort; administrative,business,unclassified
2025/057,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2025/053,No record linkage,,,survey; administrative,individual; business,academic; unclassified
2025/038,No record linkage,,,administrative,business,third-sector; unclassified
2025/062,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,unclassified
2025/047,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/052,No record linkage,,,survey; administrative,business,government
2025/050,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/044,No record linkage,,,survey; administrative,individual; business,commercial
2025/058,No record linkage,,,cohort,business,academic
2025/028,Within-domain record linkage,Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual; household; business,academic
2025/049,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/048,No record linkage,,,survey,household,unclassified
2025/032,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/034,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/089,No record linkage,,,administrative,individual,third-sector
2025/072,No record linkage,,,survey,individual,unclassified
2025/073,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal; Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual,academic
2025/068,No record linkage,,,cohort,business,academic
2025/063,No record linkage,,,survey,business,academic
2025/099,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/069,No record linkage,,,,,academic
2025/054,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2025/101,No record linkage,,,survey,individual,academic
2025/078,No record linkage,,,survey,business,government
2025/080,No record linkage,,,survey; administrative,business,academic
2025/083,No record linkage,,,survey; administrative,business,government; commercial
2025/106,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2025/084,Within-domain record linkage,Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual,unclassified
2025/091,No record linkage,,,survey,individual,academic
2025/100,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; cohort; administrative,individual; household; business,academic
2025/079,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/082,No record linkage,,,survey; cohort; administrative,business,academic
2025/092,No record linkage,,,administrative,business,academic
2025/094,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/070,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/014,No record linkage,,,,,academic
2025/015,No record linkage,,,survey; administrative,business,unclassified
2025/019,No record linkage,,,cohort,individual,academic
2025/025,No record linkage,,,survey,individual,unclassified
2025/040,No record linkage,,,survey; cohort; administrative,business,government
2025/055,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2025/064,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2025/066,No record linkage,,,survey,individual,academic
2025/067,No record linkage,,,,,academic
2025/081,No record linkage,,,survey,individual; business,academic
2025/096,No record linkage,,,survey; cohort; administrative,business,academic
2025/097,No record linkage,,,survey,business,academic
2025/102,No record linkage,,,survey,business,academic
2025/105,No record linkage,,,administrative,business,commercial
2025/107,No record linkage,,,survey; cohort; administrative,individual; business; area,academic
2025/110,No record linkage,,,survey,individual,academic
2025/007,No record linkage,,,survey,individual,unclassified
2025/024,No record linkage,,,survey,household; business,academic
2025/029,No record linkage,,,survey,individual,academic; unclassified
2025/031,No record linkage,,,administrative,individual,third-sector
2025/061,No record linkage,,,survey,individual,academic
2025/076,No record linkage,,,survey,individual,academic
2025/077,No record linkage,,,survey,individual,academic
2025/085,No record linkage,,,survey,individual,academic
2025/093,No record linkage,,,survey,individual,academic; unclassified
2025/095,No record linkage,,,survey,household; business,academic
2025/104,No record linkage,,,survey,individual,academic
2025/109,No record linkage,,,survey,individual,academic
2025/108,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2025/103,No record linkage,,,administrative,individual,academic
2025/111,No record linkage,,,survey,individual; business,academic; government; commercial
2025/116,No record linkage,,,administrative,individual,academic
2025/006,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic; third-sector
2025/009,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2025/010,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/027,No record linkage,,,survey,individual,academic
2025/033,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual; business,academic
2025/037,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; third-sector
2025/039,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/042,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2025/056,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,academic
2025/060,No record linkage,,,survey,individual; household,academic
2025/074,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,administrative,individual,academic
2025/086,No record linkage,,,survey; administrative,individual; business,academic
2025/088,No record linkage,,,survey,individual; household,academic
2025/090,No record linkage,,,survey; cohort; administrative,business,academic
2025/098,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/113,No record linkage,,,survey,individual; household,academic; third-sector
2025/114,No record linkage,,,survey,individual,unclassified
2025/117,No record linkage,,,administrative,individual,academic
2024/102,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2024/159,Cross-domain record linkage,"Linked Census, HES and Mortality Data",Health & Social Care; Migration & Demographics,administrative,individual,academic
2024/160,Cross-domain record linkage,"Linked Census, HES and Mortality Data",Health & Social Care; Migration & Demographics,administrative,individual,academic
2024/179,No record linkage,,,survey,individual,third-sector
2024/191,No record linkage,,,administrative,individual,academic
2024/192,No record linkage,,,administrative,individual,academic
2024/193,No record linkage,,,survey; administrative,business,academic
2024/194,No record linkage,,,survey,individual,academic
2024/199,No record linkage,,,survey,individual,academic
2024/206,No record linkage,,,administrative,individual,academic
2024/214,No record linkage,,,survey,business,academic
2024/223,No record linkage,,,administrative,business,unclassified
2024/225,No record linkage,,,survey,individual,academic
2024/232,No record linkage,,,survey,individual,academic
2024/244,No record linkage,,,survey,individual,academic; unclassified
2024/253,No record linkage,,,survey,individual; household,academic
2024/256,Within-domain record linkage,MoJ Data First,Crime & Justice,survey; administrative,individual,academic
2024/127,No record linkage,,,survey; administrative,individual,academic
2024/189,No record linkage,,,survey; cohort,individual; business,government
2024/246,No record linkage,,,survey,individual,academic
2024/247,No record linkage,,,survey,individual,academic
2025/026,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2025/043,No record linkage,,,survey; administrative,individual; business,commercial
2025/059,No record linkage,,,administrative,business,commercial
2025/071,No record linkage,,,survey; administrative,individual,government; unclassified
2025/118,Cross-domain record linkage,Growing Up in England (GUIE),Education & Skills; Migration & Demographics,survey; administrative,individual; household,academic; third-sector
2025/122,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/126,No record linkage,,,administrative,individual,academic
2025/131,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic; third-sector
2025/132,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/135,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/139,Cross-domain record linkage,Administrative Data | Agricultural Research Collection (AD|ARC),Migration & Demographics; Environment & Agriculture,administrative,business,academic; government
2025/140,No record linkage,,,administrative,individual,third-sector
2025/112,No record linkage,,,survey,household,academic
2025/115,No record linkage,,,survey; administrative,individual; business,academic
2025/119,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/120,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2025/121,No record linkage,,,cohort,individual,academic
2025/123,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/124,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/125,No record linkage,,,survey,individual,unclassified
2025/127,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/128,No record linkage,,,administrative,individual,academic
2025/130,No record linkage,,,survey,individual,academic; government
2025/133,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/134,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/136,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2025/137,No record linkage,,,survey,individual,academic
2025/138,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/145,No record linkage,,,survey; administrative,individual; business,commercial; unclassified
2025/147,No record linkage,,,administrative,business,academic
2025/150,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,government; unclassified
2025/151,No record linkage,,,survey,individual,academic
2025/153,No record linkage,,,survey; administrative,individual; business,academic
2025/154,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,unclassified
2025/155,No record linkage,,,survey,individual,academic
2025/156,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/157,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal; Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual,academic
2025/159,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual; household,unclassified
2025/160,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual,academic
2025/141,No record linkage,,,survey,individual,third-sector
2025/142,No record linkage,,,cohort,business,academic
2025/143,No record linkage,,,survey,individual,academic
2025/144,Cross-domain record linkage,Administrative Data | Agricultural Research Collection (AD|ARC),Migration & Demographics; Environment & Agriculture,administrative,business,academic; government
2025/146,No record linkage,,,survey,individual,government
2025/149,No record linkage,,,survey,individual,academic; government
2025/152,No record linkage,,,survey,individual,academic; government; unclassified
2025/161,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/162,No record linkage,,,survey; administrative,individual; business,academic
2025/165,No record linkage,,,survey; cohort,individual; household,academic
2025/166,No record linkage,,,survey,individual,academic
2025/169,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2026/170,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2025/158,No record linkage,,,survey,individual,academic
2025/163,No record linkage,,,survey; administrative,individual; business,commercial
2025/129,No record linkage,,,survey,individual,academic
2025/168,No record linkage,,,survey,individual,unclassified
2025/171,No record linkage,,,administrative,individual,academic
2025/172,No record linkage,,,survey; administrative,individual,academic; unclassified
2025/173,No record linkage,,,survey,individual; business,academic
2025/174,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,government
2025/176,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/177,No record linkage,,,survey; administrative,individual; household,unclassified
2025/180,No record linkage,,,survey; administrative,business,academic
2025/181,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2025/182,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual; household,academic
2025/184,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/185,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/186,No record linkage,,,survey,individual; household,academic; unclassified
2025/187,No record linkage,,,survey; administrative,individual; business,commercial
2025/191,No record linkage,,,cohort,individual,academic
2025/192,No record linkage,,,survey; administrative,individual; business,academic
2025/194,No record linkage,,,survey; administrative,business,academic
2025/195,No record linkage,,,administrative,individual,academic
2025/196,No record linkage,,,survey,business,academic
2025/148,No record linkage,,,administrative,business,academic; unclassified
2025/164,No record linkage,,,survey,individual,academic
2025/178,No record linkage,,,survey; cohort,individual; household; business,commercial
2025/188,No record linkage,,,survey,individual,academic; government
2025/190,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/198,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/199,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/200,No record linkage,,,survey,individual,academic; government
2025/201,No record linkage,,,survey,individual,government
2025/205,No record linkage,,,survey,individual,government
2025/206,Cross-domain record linkage,Annual Survey of Hours and Earnings linked to Census 2011,Labour Market & Employment; Migration & Demographics,survey,individual; business,academic; unclassified
2025/207,No record linkage,,,survey; administrative,individual; area,academic; third-sector
2025/211,No record linkage,,,,,academic
2025/212,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic
2025/213,No record linkage,,,survey; cohort,individual; business,unclassified
2025/214,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/215,No record linkage,,,survey,individual,academic
2025/216,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,third-sector
2025/217,No record linkage,,,survey,individual,unclassified
2025/087,No record linkage,,,survey,household,academic
2025/167,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2025/179,No record linkage,,,survey,individual,unclassified
2025/183,No record linkage,,,survey,individual,academic; government
2025/193,No record linkage,,,survey,individual,commercial
2025/197,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/202,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; cohort; administrative,individual; business,academic
2025/203,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,academic
2025/209,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2025/210,No record linkage,,,survey,business,academic
2025/218,Within-domain record linkage,GRading and Admissions Data England (GRADE),Education & Skills,administrative,individual,academic; unclassified
2025/223,No record linkage,,,survey,individual,commercial
2025/224,No record linkage,,,survey,individual,academic; government
2025/226,No record linkage,,,cohort; administrative,business,academic
2025/189,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual; business,academic
2025/219,No record linkage,,,survey,business,academic
2025/227,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic; unclassified
2025/231,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/232,No record linkage,,,survey,individual,academic
2025/233,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/234,No record linkage,,,survey,individual,academic
2025/235,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2025/237,No record linkage,,,survey,individual,academic; government
2025/238,No record linkage,,,administrative,individual,third-sector
2025/239,No record linkage,,,survey,household,academic
2025/240,No record linkage,,,survey,individual,academic
2025/241,No record linkage,,,survey,individual,academic; unclassified
2025/242,No record linkage,,,survey; administrative,individual,government; unclassified
2025/220,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,unclassified
2025/221,No record linkage,,,survey; cohort,business,academic
2025/222,No record linkage,,,survey; cohort,business,academic
2025/225,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD); Annual Survey of Hours and Earnings linked to Census 2011,Education & Skills; Health & Social Care; Labour Market & Employment; Migration & Demographics,survey; cohort; administrative,individual; household; business; area,academic
2025/228,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey; administrative,individual; business,commercial
2025/229,No record linkage,,,survey; administrative,individual; business,academic
2025/230,No record linkage,,,,,third-sector
2025/236,No record linkage,,,survey,individual,academic
2025/243,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; unclassified
2025/244,No record linkage,,,survey,individual,unclassified
2025/245,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,academic
2025/247,No record linkage,,,survey; cohort,individual; household,third-sector
2025/249,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2025/250,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2025/251,No record linkage,,,survey,business,academic
2025/254,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,unclassified
2025/256,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/248,No record linkage,,,survey,business,unclassified
2025/252,No record linkage,,,survey; cohort,business,academic
2025/255,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal,Labour Market & Employment,survey,individual,government
2025/208,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic; unclassified
2025/258,Within-domain record linkage,MoJ Data First,Crime & Justice,administrative,individual,academic
2025/260,No record linkage,,,survey,individual,academic; government
2025/261,No record linkage,,,survey; administrative,individual; business,academic; unclassified
2025/262,No record linkage,,,survey,individual,academic
2025/263,No record linkage,,,survey,individual; household,third-sector
2025/264,No record linkage,,,survey,individual,academic
2025/265,No record linkage,,,survey,individual,academic
2025/266,No record linkage,,,survey; administrative,individual; business,academic
2025/267,No record linkage,,,survey,individual,academic
2026/002,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic; unclassified
2026/003,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2026/004,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic
2025/257,No record linkage,,,survey,individual,academic
2025/259,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2026/005,No record linkage,,,survey,individual; household,academic
2026/006,No record linkage,,,survey,individual; business,academic
2026/008,No record linkage,,,survey,individual,academic
2026/009,No record linkage,,,survey,individual,academic
2026/010,No record linkage,,,survey; cohort,individual,academic
2026/011,No record linkage,,,cohort,individual,academic; unclassified
2026/012,No record linkage,,,survey; cohort,individual; business,unclassified
2026/014,No record linkage,,,,,academic; unclassified
2026/016,No record linkage,,,survey,business,academic
2026/017,No record linkage,,,cohort,individual,academic; government; unclassified
2026/018,No record linkage,,,survey; administrative,individual; business,commercial
2026/019,Within-domain record linkage,Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual,third-sector
2026/020,No record linkage,,,survey; administrative,household; business,academic
2026/021,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,academic
2026/022,No record linkage,,,cohort,individual,academic
2026/023,No record linkage,,,survey,individual,academic
2026/024,No record linkage,,,administrative,business,government
2026/026,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,unclassified
2026/027,Within-domain record linkage,Annual Survey of Hours and Earnings Longitudinal; Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual,academic; third-sector
2025/246,No record linkage,,,survey,individual,academic
2026/001,No record linkage,,,survey,household,academic; unclassified
2026/007,No record linkage,,,survey,individual,academic; government
2026/013,Within-domain record linkage,Annual Survey of Hours and Earnings linked to PAYE and Self-Assessment,Labour Market & Employment,survey,individual; business,academic
2026/015,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,commercial
2026/031,No record linkage,,,survey,business,unclassified
2026/032,No record linkage,,,survey,individual,academic
2026/033,No record linkage,,,survey,household,academic
2026/034,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector
2026/035,Cross-domain record linkage,Longitudinal Education Outcomes (LEO),Education & Skills; Labour Market & Employment,administrative,individual,third-sector; commercial; unclassified
2026/036,No record linkage,,,survey; administrative,business,academic
2026/038,No record linkage,,,survey,individual,commercial
2026/039,No record linkage,,,survey; administrative,individual; business,academic; third-sector
2026/040,No record linkage,,,survey; administrative,individual; household; business,academic
2026/044,Cross-domain record linkage,Education and Child Health Insights from Linked Data (ECHILD),Education & Skills; Health & Social Care,administrative,individual,academic; unclassified
2026/045,No record linkage,,,survey,individual,academic
2026/047,No record linkage,,,survey,individual,academic; unclassified
