Project ID,Record ID,Title,Datasets Used,Accreditation Date,Year,gpt_status,substantive_domains,analytical_purpose,cross_cutting_tags,rationale,validation_error,raw_classification
2023/038,2023/038,Changing hours of work in the United Kingdom,"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Labour Force Survey Person - UK, New Earnings Survey - Great Britain",2023-03-02,2023,ok,Labour Market & Employment,Descriptive Monitoring,,"Assigned Labour Market & Employment because the title focuses on hours of work and the datasets include ASHE, LFS and the New Earnings Survey; Descriptive Monitoring because “Changing hours of work” indicates measuring patterns or trends in working hours; no tag because no demographic-disparity or pandemic lens is explicit.",,
2023/039,2023/039,The Role of Social Closure in Class Background Inequality in Early Occupational Careers,"Office for National Statistics: Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK
Institute for Economic and Social Research: Understanding Society - UK",2023-03-03,2023,ok,Labour Market & Employment,Outcome Tracking; Life-Course / Trajectory Analysis,,Assigned Labour Market & Employment because the title studies early occupational careers and the datasets include LFS longitudinal/person data and Understanding Society; Outcome Tracking and Life-Course / Trajectory Analysis because it links class background and social closure to occupational-career inequality over early career progression; no tag because class background is socioeconomic rather than a demographic or equality group under the tag definition.,,
2023/040,2023/040,Female Councillors and Domestic Violence,Office for National Statistics: Crime Survey for England and Wales,2023-03-03,2023,ok,Crime & Justice,Outcome Tracking,Demographic disparities / equity tag,"Assigned Crime & Justice because the title concerns domestic violence and the dataset is the Crime Survey for England and Wales; Outcome Tracking because it relates the presence of female councillors to domestic-violence outcomes rather than evaluating a named intervention; Demographic disparities / equity tag because the research question centres a gender-relevant characteristic, female councillors.",,
2023/041,2023/041,Female managers and gender differences in earnings growth,"Office for National Statistics: Annual Survey of Hours and Earnings, Workplace Employment Relations Survey",2023-03-03,2023,ok,Labour Market & Employment,Outcome Tracking,Demographic disparities / equity tag,"Assigned Labour Market & Employment because the title concerns managers, earnings growth and gender earnings differences using ASHE and the Workplace Employment Relations Survey; Outcome Tracking because it relates female managers to downstream earnings growth differences; Demographic disparities / equity tag because gender differences in earnings growth are central.",,
2023/042,2023/042,Understanding the drivers of UK innovation diffusion at the firm level,"Office for National Statistics: Annual Business Survey - UK, Business Insights and Conditions Survey - UK, Management and Expectations Survey - Great Britain, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2023-03-06,2023,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title focuses on firm-level innovation diffusion and the datasets are business, R&D, management, structure and innovation surveys; Outcome Tracking because it examines drivers of innovation diffusion at firm level; no tag because no demographic-disparity or pandemic lens is explicit.",,
2023/043,2023/043,Household background of children with special educational needs,"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Children in Need, Children Looked After, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",2023-03-09,2023,ok,Education & Skills; Health & Social Care,Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Education & Skills and Health & Social Care because the title concerns children with special educational needs and the datasets include school census, absences and exclusions data as well as Children in Need and Children Looked After data; Descriptive Monitoring because it profiles the household background of this group; Demographic disparities / equity tag because special educational needs are a disability/equality-relevant focus.",,
2023/044,2023/044,The effects of ICT investment on energy efficiency in UK firms,"Office for National Statistics: Annual Business Survey, Annual Respondents Database",2023-03-08,2023,ok,Business & Productivity; Environment & Agriculture,Outcome Tracking,,Assigned Business & Productivity and Environment & Agriculture because the title studies ICT investment in UK firms and its effects on energy efficiency using business survey datasets; Outcome Tracking because it links the naturally occurring exposure of ICT investment to the outcome of firm energy efficiency; no tag because no demographic-disparity or pandemic lens is explicit.,,
2023/046,2023/046,Local far-right support and immigrants' location choices in the UK,Office for National Statistics: Annual Population Survey - UK,2023-03-20,2023,ok,Migration & Demographics,Outcome Tracking,Demographic disparities / equity tag,Assigned Migration & Demographics because the title focuses on immigrants’ location choices in the UK using the Annual Population Survey; Outcome Tracking because it relates local far-right support to immigrants’ downstream location choices; Demographic disparities / equity tag because migrant status is central to the research question.,,
2023/047,2023/047,Fiscal impact of migration,"Office for National Statistics: Annual Population Survey - UK, Annual Survey of Hours and Earnings - UK",2023-03-23,2023,ok,Migration & Demographics; Public Finance & Taxation,Outcome Tracking,Demographic disparities / equity tag,Assigned Migration & Demographics and Public Finance & Taxation because the title focuses on the fiscal impact of migration and uses population and earnings data from the Annual Population Survey and ASHE; Outcome Tracking because it implies estimating how migrant status relates to fiscal outcomes; Demographic disparities / equity tag because migrant status is the central population comparison.,,
2023/048,2023/048,Examination of loneliness reported by UK adults 2018 - 2023,Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,2023-03-21,2023,ok,Health & Social Care,Descriptive Monitoring,,Assigned Health & Social Care because loneliness reported by UK adults is a wellbeing and public-health outcome measured in the Opinions and Lifestyle Survey; Descriptive Monitoring because the title says it examines reported loneliness over 2018-2023; no tag because COVID-19 or demographic/equality comparisons are not explicit.,,
2023/049,2023/049,"Further Education Colleges and the ""Levelling Up"" Agenda","DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",2023-03-23,2023,ok,Education & Skills,Unclear from Register Entry,,"Assigned Education & Skills because the title centres Further Education Colleges and the dataset is the Longitudinal Education Outcomes extract; Unclear from Register Entry because the title does not specify whether the project monitors, evaluates, or tracks outcomes under the Levelling Up agenda; no tag because no demographic or pandemic lens is explicit.",,
2023/050,2023/050,The effects of UK ODI on the home economy,"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2023-04-04,2023,ok,Business & Productivity,Outcome Tracking,,"Assigned Business & Productivity because the title concerns UK outward direct investment and the home economy using FDI, business survey, and trade datasets; Outcome Tracking because it estimates the effects of ODI on downstream economic or business outcomes; no tag because no demographic or pandemic lens is explicit.",,
2023/051,2023/051,Dynamics of Climate Policy,"Office for National Statistics: Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK, Annual Purchases Survey - UK, Annual Respondents Database x - UK
Department for Business, Energy & Industrial Strategy: Quarterly Fuels Inquiry - UK",2023-03-23,2023,ok,Business & Productivity; Environment & Agriculture,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity and Environment & Agriculture because the title concerns climate policy dynamics using business structure, low-carbon economy, purchases, and fuels datasets; Policy Evaluation / Impact Analysis because climate policy is the deliberate policy mechanism being analysed; no tag because no demographic or pandemic lens is explicit.",,
2023/052,2023/052,Dynamics of Preferences and Social Geography,Office for National Statistics: Annual Survey of Hours and Earnings,2023-03-27,2023,ok,Labour Market & Employment,Unclear from Register Entry,,"Assigned Labour Market & Employment because the project uses ASHE, an earnings and employment dataset, to study preferences and social geography; Unclear from Register Entry because the title does not reveal whether the analysis is descriptive, causal, trajectory-based, or methodological; no tag because no demographic or pandemic lens is explicit.",,
2023/053,2023/053,Developing a Careers Labour Market Information (LMI) Data Tool,"Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey",2023-03-23,2023,ok,Labour Market & Employment; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Labour Market & Employment and Data Infrastructure & Methodology because the title is developing a Careers Labour Market Information data tool using ASHE and the Quarterly Labour Force Survey; Methodological / Infrastructure Research because tool development is the central analytical operation; no tag because no demographic or pandemic lens is explicit.,,
2023/054,2023/054,Estimating the effect of online food delivery apps on businesses,"Office for National Statistics: Business Structure Database, Annual Business Survey, Annual Survey of Hours and Earnings",2023-04-06,2023,ok,Business & Productivity,Outcome Tracking,,Assigned Business & Productivity because the title estimates effects of online food delivery apps on businesses using business survey and business structure datasets; Outcome Tracking because online food delivery apps are a market exposure linked to business outcomes rather than a named policy; no tag because no demographic or pandemic lens is explicit.,,
2023/055,2023/055,The role of the minimum wage for individual labour market state transitions in the UK,"Office for National Statistics: Annual Survey of Hours and Earnings, Quarterly Labour Force Survey, Labour Force Survey Five-Quarter Longitudinal Dataset",2023-03-23,2023,ok,Labour Market & Employment,Policy Evaluation / Impact Analysis; Life-Course / Trajectory Analysis,,Assigned Labour Market & Employment because the title focuses on minimum wage and individual labour-market state transitions using ASHE and longitudinal Labour Force Survey data; Policy Evaluation / Impact Analysis and Life-Course / Trajectory Analysis because it analyses a wage regulation in relation to transitions between labour-market states over time; no tag because no demographic or pandemic lens is explicit.,,
2023/056,2023/056,Ethnic and religious inequalities in children's social services in Wales: Patterns and outcomes,SAIL Databank Databank: 2011 Census,2023-03-24,2023,ok,Health & Social Care,Descriptive Monitoring; Outcome Tracking,Demographic disparities / equity tag,Assigned Health & Social Care because the title centres children's social services in Wales and outcomes using Census-linked population information; Descriptive Monitoring and Outcome Tracking because it examines patterns of inequality and associated outcomes; Demographic disparities / equity tag because ethnic and religious inequalities are central to the research question.,,
2023/057,2023/057,Refugee Integration Outcomes Study- Full Scale Data-Linking Cohort Study,"Home Office;
NHS: Bespoke Refugee Integration Outcomes Cohort Study England & Wales",2023-04-04,2023,ok,Migration & Demographics; Health & Social Care,Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Assigned Migration & Demographics and Health & Social Care because the title studies refugee integration outcomes and the datasets link Home Office refugee cohort data with NHS data; Life-Course / Trajectory Analysis because it is described as a full-scale data-linking cohort study of refugee outcomes; Demographic disparities / equity tag because refugees are a migrant/equality-relevant group central to the research.,,
2023/058,2023/058,"Differences in careers by ethnicity, nationality, and social class.",Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,2023-04-05,2023,ok,Labour Market & Employment,Descriptive Monitoring; Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Assigned Labour Market & Employment because the title examines differences in careers using earnings and Census-linked ASHE data; Descriptive Monitoring and Life-Course / Trajectory Analysis because it profiles career differences and careers imply progression over time; Demographic disparities / equity tag because ethnicity and nationality are central comparison dimensions.,,
2023/059,2023/059,Immigration backlash: the political consequences of open borders,"Office for National Statistics: Labour Force Survey Five-Quarter Longitudinal Dataset, Labour Force Survey Two-Quarter Longitudinal Dataset, Labour Force Survey Household Datasets, Quarterly Labour Force Survey, Annual Population Survey",2023-03-30,2023,ok,Migration & Demographics,Outcome Tracking,,Assigned Migration & Demographics because the title focuses on immigration backlash and open borders using population and labour-force survey datasets; Outcome Tracking because it links the immigration/open-borders context to downstream political consequences; no tag because the entry does not centre comparison of outcomes across demographic groups.,,
2023/060,2023/060,Monitoring business conditions in low-paying sectors,Office for National Statistics: Business Insights and Conditions Survey - UK,2023-03-31,2023,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title monitors business conditions in low-paying sectors using the Business Insights and Conditions Survey; Descriptive Monitoring because the title explicitly frames the work as monitoring business conditions; no tag because no demographic or COVID-19 lens is central in the entry.,,
2023/061,2023/061,New research and improving research capability on economic growth and productivity,"Office for National Statistics: Annual Business Survey - UK, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce Survey - UK, Investment in Intangible Assets Survey - UK, Monthly Business Survey - UK, Management Practices Survey - Great Britain, Vacancy Survey - UK, Monthly Wage and Salary Survey - Great Britain, Annual Survey of Goods and Services - UK, Management and Expectations Survey - Great Britain, Monthly Business Survey for Construction and Allied Trades - Great Britain, Business Insights and Conditions Survey - UK, Monthly Production Inquiry - UK, Short Term Employment Survey - Great Britain, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK, Annual Purchases Survey - UK, RETIRED Mergers and Acquisitions Survey - UK, Monthly Inquiry into the Distributive and Services Sector - UK, Annual Foreign Direct Investment Survey - UK, International Trade in Services - UK, Labour Force Survey Longitudinal - UK, Quarterly Capital Expenditure Survey - UK, Annual Survey of Hours and Earnings - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey, Longitudinal Small Business Survey - UK
Bank of England: Decision Maker Panel - UK",2023-04-13,2023,ok,Business & Productivity; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,"Assigned Business & Productivity and Data Infrastructure & Methodology because the title concerns economic growth and productivity while also improving research capability using extensive business, innovation, wages, vacancies and management datasets; Methodological / Infrastructure Research because improving research capability is central to the project framing; no tag because no demographic or pandemic lens is indicated.",,
2023/062,2023/062,The Household-Level Impacts of UK Fiscal Policy,Office for National Statistics: Effects of Tax and Benefits - UK,2023-04-05,2023,ok,"Public Finance & Taxation; Poverty, Wealth & Living Standards",Policy Evaluation / Impact Analysis,,"Assigned Public Finance & Taxation and Poverty, Wealth & Living Standards because the title examines household-level impacts of UK fiscal policy using Effects of Tax and Benefits data; Policy Evaluation / Impact Analysis because it studies the impacts of fiscal policy; no tag because no demographic or COVID-19 comparison is central.",,
2023/063,2023/063,Impact of food consumption on births and newborns health conditions,"Office for National Statistics: Births Registrations in England and Wales, Deaths Registrations in England and Wales",2023-04-18,2023,ok,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because the title focuses on births and newborn health conditions using birth and death registrations; Outcome Tracking because it examines the impact of food consumption on downstream birth and newborn health outcomes; no tag because no demographic or pandemic lens is indicated.,,
2023/064,2023/064,Businesses' demography and investment,"Office for National Statistics: Annual Respondents Database x - UK, Business Structure Database Longitudinal - UK, Business Structure Database - UK",2023-04-11,2023,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title concerns businesses' demography and investment using business structure and respondents databases; Descriptive Monitoring because the entry indicates characterising business demography and investment rather than a named intervention or prediction; no tag because no demographic-equity or COVID-19 lens is central.,,
2023/065,2023/065,Skills at workplace and pay progression,"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, Annual Business Survey - UK, Annual Respondents Database x - UK, Management and Expectations Survey - Great Britain
Department For Education: Employer Skills Survey and Investment in Training - UK
Department for Business, Energy & Industrial Strategy: Workplace Employment Relations Survey - Great Britain, UK Innovation Survey",2023-04-18,2023,ok,Education & Skills; Labour Market & Employment,Outcome Tracking; Life-Course / Trajectory Analysis,,"Assigned Education & Skills and Labour Market & Employment because the title links workplace skills to pay progression using employer skills, training, workplace relations, earnings and business datasets; Outcome Tracking and Life-Course / Trajectory Analysis because it relates workplace skills to subsequent pay progression over time; no tag because no demographic or pandemic lens is indicated.",,
2023/066,2023/066,Vaccination heterogeneity within social networks,"Office for National Statistics, University of Oxford,
NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK ONS; University of Oxford; DHSC: COVID-19 Infection Survey linked to
NHS Test and Trace - England
Department of Health and Social Care: Schools Daily Contact Testing - England
Office for National Statistics: Opinions and Lifestyle Survey - Great Britain, COVID-19 Vaccine Opinions Survey - England, Labour Force Survey Household - UK, COVID-19 Schools Infection Survey - England, COVID-19 Schools Infection Survey linked with Test and Trace - England
UKHSA:
NHS Test and Trace - England and Wales
Office for National Statistics, University of Oxford: COVID-19 Infection Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",2023-05-02,2023,ok,Health & Social Care,Descriptive Monitoring,COVID-19 & Pandemic,"Assigned Health & Social Care because the title studies vaccination heterogeneity and the datasets are COVID-19 infection, vaccination, Test and Trace and health data; Descriptive Monitoring because it characterises heterogeneity in vaccination within social networks; COVID-19 & Pandemic because COVID-19 vaccination and infection survey data are central to the project.",,
2023/067,2023/067,Skills and Employment in London,"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",2023-04-19,2023,ok,Labour Market & Employment; Education & Skills,Descriptive Monitoring,,Assigned Labour Market & Employment and Education & Skills because the title focuses on skills and employment in London and uses DfE/DWP/HMRC Longitudinal Education Outcomes data; Descriptive Monitoring because the entry indicates profiling skills and employment rather than a named intervention or exposure-outcome test; no tag because neither COVID-19 nor demographic/equality-group comparison is central.,,
2023/068,2023/068,Understanding Seafood Consumption in the UK within the UKRI funded PyramIntegrated Data Service of Life project,Office for National Statistics: Living Costs and Food Survey,2023-05-12,2023,ok,"Poverty, Wealth & Living Standards",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards because the title concerns seafood consumption and uses the Living Costs and Food Survey, indicating household consumption patterns; Descriptive Monitoring because the project is framed as understanding consumption in the UK; no tag because neither COVID-19 nor demographic/equality-group comparison is central.",,
2023/069,2023/069,The economic and socio-economic impacts of trade on the UK labour market,"Office for National Statistics: Annual Business Survey - UK, Annual Purchases Survey - UK, International Trade in Services - UK, UK Manufacturers Sales by Product Survey, Annual Survey of Goods and Services - UK, Business Structure Database - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2023-05-09,2023,ok,Labour Market & Employment; Business & Productivity,Outcome Tracking,,"Assigned Labour Market & Employment and Business & Productivity because the title studies impacts of trade on the UK labour market and the datasets combine business, trade, earnings and employment sources; Outcome Tracking because trade exposure is linked to downstream labour-market impacts rather than a named policy evaluation; no tag because socio-economic impacts are mentioned but no demographic/equality-group comparison or COVID-19 lens is central.",,
2023/070,2023/070,The economic and socio-economic impacts of trade on the UK labour market (Census Data),"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, International Trade in Services - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK",2023-05-09,2023,ok,Labour Market & Employment; Business & Productivity,Outcome Tracking,,Assigned Labour Market & Employment and Business & Productivity because the title studies trade impacts on the UK labour market using ASHE-Census and trade-register business data; Outcome Tracking because it links trade-related conditions to labour-market outcomes; no tag because the Census linkage does not by itself make demographic comparison or COVID-19 central.,,
2023/071,2023/071,Evaluation of planning policy to regulate takeaway food outlets for improved health in England,"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings Longitudinal - UK, Annual Survey of Hours and Earnings - UK",2023-05-09,2023,ok,Housing & Planning; Health & Social Care,Policy Evaluation / Impact Analysis,,Assigned Housing & Planning and Health & Social Care because the title explicitly evaluates planning policy regulating takeaway outlets for improved health in England; Policy Evaluation / Impact Analysis because a named planning-policy intervention is being evaluated; no tag because neither COVID-19 nor demographic/equality-group comparison is central.,,
2023/072,2023/072,Exploring the life course patterns and family justice experience of young mothers involved in recurrent care proceedings in England,"Ministry of Justice: Children and Family Court Advisory and Support Service (CAFCASS England), Family Man",2023-06-05,2023,ok,Crime & Justice,Life-Course / Trajectory Analysis; Service Interaction / Systems Analysis,,"Assigned Crime & Justice because the title concerns family justice experience, recurrent care proceedings and CAFCASS/FamilyMan court data; Life-Course / Trajectory Analysis and Service Interaction / Systems Analysis because it explicitly examines life-course patterns and experiences through family justice proceedings; no tag because young mothers define the study population but no demographic comparison is indicated.",,
2023/073,2023/073,Domestic abuse proceedings in family courts: Overlap and pathways in private and public family justice,Ministry of Justice: Data First FamilyMan Family Court data,2023-06-05,2023,ok,Crime & Justice,Service Interaction / Systems Analysis,,Assigned Crime & Justice because the title concerns domestic abuse proceedings in family courts using Data First FamilyMan Family Court data; Service Interaction / Systems Analysis because it focuses on overlap and pathways across private and public family justice; no tag because no demographic/equality-group comparison or COVID-19 lens is central.,,
2023/074,2023/074,Full scale: UK business growth,Office for National Statistics: Annual Business Survey,2023-05-12,2023,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title is about UK business growth and uses the Annual Business Survey; Descriptive Monitoring because the entry suggests measuring or characterising business growth rather than evaluating a named intervention; no tag because neither COVID-19 nor demographic/equality-group comparison is central.,,
2023/075,2023/075,Mapping innovation-related interactions with public sector,"Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2023-05-24,2023,ok,Business & Productivity,Descriptive Monitoring,,Assigned Business & Productivity because the title concerns innovation-related interactions and uses the UK Innovation Survey; Descriptive Monitoring because “mapping” indicates describing the distribution or pattern of interactions with the public sector; no tag because neither COVID-19 nor demographic/equality-group comparison is central.,,
2023/076,2023/076,AD|ARC (Administrative Data Agri-Research Collection): Linking Individual and Farm Level Data for Agricultural Research,"Department for Environment, Food & Rural Affairs: Bespoke Admin Data: Agricultural Research Collection - England",2023-05-24,2023,ok,Environment & Agriculture; Data Infrastructure & Methodology,Methodological / Infrastructure Research,,Assigned Environment & Agriculture and Data Infrastructure & Methodology because the title is about linking individual and farm-level data for agricultural research using DEFRA Agricultural Research Collection data; Methodological / Infrastructure Research because the central operation is creating or linking an administrative data collection; no tag because neither COVID-19 nor demographic/equality-group comparison is central.,,
2023/077,2023/077,Agglomeration across European economies,"Office for National Statistics: Annual Survey of Hours and Earnings Longitudinal - UK, Annual Business Survey - UK, Annual Respondents Database x - UK, Business Structure Database - UK",2023-05-24,2023,ok,Labour Market & Employment; Business & Productivity,Outcome Tracking,,Assigned Labour Market & Employment and Business & Productivity because the agglomeration study uses earnings data from ASHE alongside firm/business datasets such as the Annual Business Survey and Business Structure Database; Outcome Tracking because agglomeration is a naturally occurring economic condition linked to wage and firm outcomes; no tag because no demographic-equity or COVID-19 lens is explicit.,,
2023/078,2023/078,Labour market inequality and the effects of government policy,Office for National Statistics: 2011 Census linked to Benefits and Income - England and Wales,2023-06-02,2023,ok,Labour Market & Employment; Public Finance & Taxation,Policy Evaluation / Impact Analysis,,Assigned Labour Market & Employment and Public Finance & Taxation because the title focuses on labour market inequality and effects of government policy using Census data linked to benefits and income; Policy Evaluation / Impact Analysis because it explicitly examines the effects of government policy; no tag because the entry does not specify a central demographic or COVID-19 comparison.,,
2023/079,2023/079,Evaluation of the Creative Scale Up Pilot Programme,Office for National Statistics: Business Structure Database Longitudinal - UK,2023-06-02,2023,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,Assigned Business & Productivity because the project evaluates the Creative Scale Up Pilot Programme using the Business Structure Database Longitudinal; Policy Evaluation / Impact Analysis because the title is an evaluation of a named pilot programme; no tag because no demographic-equity or COVID-19 lens is indicated.,,
2023/080,2023/080,Socio-economic inequalities of access to higher tariff UK universities in 2020,University and Colleges Admission Service: Universities and Colleges Admissions Service - UK,2023-06-02,2023,ok,Education & Skills,Descriptive Monitoring,,Assigned Education & Skills because the title concerns access to higher-tariff UK universities using UCAS admissions data; Descriptive Monitoring because it measures socio-economic inequalities in access in 2020; no tag because socio-economic inequality alone is not a demographic-equity tag and COVID-19 is not explicit.,,
2023/081,2023/081,"Evaluation of the Department for Business Energy and Industrial Strategy's (BEIS's) three Carbon Capture, Utilisation and Storage (CCUS) programmes","Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK",2023-06-02,2023,ok,Environment & Agriculture; Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Environment & Agriculture and Business & Productivity because the project evaluates BEIS Carbon Capture, Utilisation and Storage programmes using firm, R&D, earnings and business datasets; Policy Evaluation / Impact Analysis because it is an evaluation of three named CCUS programmes; no tag because no demographic-equity or COVID-19 lens is explicit.",,
2023/082,2023/082,Inequalities in pension saving and labour market outcomes,Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,2023-06-07,2023,ok,"Poverty, Wealth & Living Standards; Labour Market & Employment",Descriptive Monitoring,,"Assigned Poverty, Wealth & Living Standards and Labour Market & Employment because the title focuses on pension saving and labour market outcomes using ASHE linked to Census data; Descriptive Monitoring because it examines inequalities in those outcomes; no tag because the title does not specify a central demographic comparison.",,
2023/083,2023/083,"Effects of Austerity Policies on Public Goods, Local Amenities, and Individual Behaviour","Institute for Economic and Social Research:
Understanding Society - UK
Office for National Statistics: Business Structure Database - UK",2023-06-07,2023,ok,Public Finance & Taxation,Policy Evaluation / Impact Analysis,,"Assigned Public Finance & Taxation because the title studies austerity policies affecting public goods and local amenities, with Understanding Society and business data; Policy Evaluation / Impact Analysis because it asks about the effects of austerity policies; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2023/084,2023/084,"Violence, health and society: the exploration and analysis of the Crime Survey for England and Wales",Office for National Statistics: Crime Survey for England and Wales,2023-06-13,2023,ok,Crime & Justice; Health & Social Care,Descriptive Monitoring,,Assigned Crime & Justice and Health & Social Care because the title links violence and health using the Crime Survey for England and Wales; Descriptive Monitoring because the project is framed as exploration and analysis of survey patterns; no tag because no central demographic-equity or COVID-19 lens is specified.,,
2023/085,2023/085,Evaluating green skills in London,Office for National Statistics: Annual Population Survey - UK,2023-06-13,2023,ok,Education & Skills; Labour Market & Employment; Environment & Agriculture,Descriptive Monitoring,,"Assigned Education & Skills, Labour Market & Employment and Environment & Agriculture because the project evaluates green skills in London using the Annual Population Survey, implying workforce skills in the green economy; Descriptive Monitoring because it appears to assess or profile green skills rather than evaluate a named intervention; no tag because no demographic-equity or COVID-19 lens is explicit.",,
2023/086,2023/086,Efficiency and productivity of UK firms,"Office for National Statistics: Annual Business Survey - UK, Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, Low Carbon and Renewable Energy Economy Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",2023-06-19,2023,ok,Business & Productivity,Descriptive Monitoring,,"Assigned Business & Productivity because the title focuses on efficiency and productivity of UK firms using business, R&D, innovation and low-carbon economy datasets; Descriptive Monitoring because it characterises firm efficiency and productivity rather than a named intervention or prediction task; no tag because no demographic-equity or COVID-19 lens is indicated.",,
2023/087,2023/087,Austerity and household debt,"Office for National Statistics: Wealth and Assets Survey - Great Britain, Living Costs and Food Survey - UK",2023-06-19,2023,ok,"Poverty, Wealth & Living Standards; Public Finance & Taxation",Policy Evaluation / Impact Analysis,,"Assigned Poverty, Wealth & Living Standards and Public Finance & Taxation because the title links austerity to household debt using Wealth and Assets Survey and Living Costs and Food Survey data; Policy Evaluation / Impact Analysis because austerity is a deliberate fiscal-policy context whose consequences for debt are being analysed; no tag because neither COVID-19 nor a central demographic/equality comparison is indicated.",,
2023/090,2023/090,Impact Evaluation of Be the Business,"Office for National Statistics: Business Structure Database - UK, Business Insights and Conditions Survey - UK, Management and Expectations Survey - Great Britain
DBT: Longitudinal Small Business Survey - UK",2023-07-07,2023,ok,Business & Productivity,Policy Evaluation / Impact Analysis,,"Assigned Business & Productivity because Be the Business is assessed using business datasets including the Business Structure Database, Business Insights and Conditions Survey, Management and Expectations Survey, and Longitudinal Small Business Survey; Policy Evaluation / Impact Analysis because the title explicitly states an impact evaluation of the Be the Business programme; no tag because neither COVID-19 nor demographic/equality comparison is central.",,
2023/094,2023/094,Scottish nurses health outcomes and deprivation,Office for National Statistics: Census 2011,2023-07-03,2023,ok,Health & Social Care,Outcome Tracking,,Assigned Health & Social Care because the title focuses on Scottish nurses' health outcomes and deprivation using Census 2011 data; Outcome Tracking because it indicates analysis of deprivation as a condition linked to health outcomes; no tag because nurses are an occupational population and deprivation alone is not a demographic/equality comparison tag.,,
2023/095,2023/095,Statutory Review of Equality and Human Rights 2023 (formally Is Britain Fairer?),"Office for National Statistics: Annual Population Survey - UK, Crime Survey for England and Wales, Opinions and Lifestyle Survey - Great Britain, Consumer and Retail Price Index - UK",2023-06-20,2023,ok,"Labour Market & Employment; Crime & Justice; Poverty, Wealth & Living Standards",Descriptive Monitoring,Demographic disparities / equity tag,"Assigned Labour Market & Employment, Crime & Justice, and Poverty, Wealth & Living Standards because the equality and human-rights review draws on the Annual Population Survey, Crime Survey for England and Wales, and Consumer and Retail Price Index; Descriptive Monitoring because a statutory review titled Is Britain Fairer? is monitoring fairness and inequalities across outcomes; Demographic disparities / equity tag because equality and human rights comparisons are central to the project.",,
