Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date,Record ID,Year,Quarter,Quarter Label,substantive_domains,linkage_mode,analytical_purpose,primary_domain
2023/072,Exploring the life course patterns and family justice experience of young mothers involved in recurrent care proceedings in England,"Mariam Abouelenin, Lancaster University",Digital Economy Act (2017),"Ministry of Justice: Children and Family Court Advisory and Support Service (CAFCASS England), Family Man",SAIL Databank,2023-06-05,2023/072,2023,2023Q2,Q2 2023,Crime & Justice,Within-Domain Linkage,Life-Course / Trajectory Analysis,Crime & Justice
2023/073,Domestic abuse proceedings in family courts: Overlap and pathways in private and public family justice,"Ludivine Garside, University of Bristol",Digital Economy Act (2017),Ministry of Justice: Data First FamilyMan Family Court data,SAIL Databank,2023-06-05,2023/073,2023,2023Q2,Q2 2023,Crime & Justice,Single-Dataset,Service Interaction / Systems Analysis,Crime & Justice
2023/074,Full scale: UK business growth,"Shreya Nanda, Social Market Foundation",Digital Economy Act (2017),Office for National Statistics: Annual Business Survey,Office for National Statistics Secure Research Service,2023-05-12,2023/074,2023,2023Q2,Q2 2023,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2023/084,"Violence, health and society: the exploration and analysis of the Crime Survey for England and Wales","Polina Obolenskaya, University of London_x000D_
Niels Blom, University of London_x000D_
Hannah Manzur, University of London_x000D_
Elouise Davies, Lancaster University_x000D_
",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2023-06-13,2023/084,2023,2023Q2,Q2 2023,Crime & Justice; Health & Social Care,Single-Dataset,Descriptive Monitoring,Crime & Justice
2023/090,Impact Evaluation of Be the Business,"Justus Laugwitz, SQW - Economic and Management Consultants
Sergei Plekhanov, SQW - Economic and Management Consultants
Imogen Sprackling, SQW - Economic and Management Consultants
Paulina Szymczak, SQW - Economic and Management Consultants
Izabela Zawartka, SQW - Economic and Management Consultants",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Insights and Conditions Survey - UK, Management and Expectations Survey - Great Britain
DBT: Longitudinal Small Business Survey - UK",Office for National Statistics Secure Research Service,2023-07-07,2023/090,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/100,"Exploring the nexus between immigration, integration and labour market outcomes","Ezgi Kaya, Cardiff Business School",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,2023-07-03,2023/100,2023,2023Q3,Q3 2023,Migration & Demographics; Labour Market & Employment,Cross-Domain Linkage,Outcome Tracking,Migration & Demographics
2023/102,The importance a competitive retail investment environment can have on peoples financial planning and long-term government spending,"Eoin Rooney, TU Dublin",Digital Economy Act (2017),Office for National Statistics: Wealth and Assets Survey - Great Britain,Office for National Statistics Secure Research Service,2023-07-04,2023/102,2023,2023Q3,Q3 2023,"Poverty, Inequality & Living Standards; Public Finance & Taxation",Single-Dataset,Descriptive Monitoring,"Poverty, Inequality & Living Standards"
2023/106,The disability pay gap: Exploring the role of the firm,"Melanie Jones, Cardiff University
John Forth, City University",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,2023-07-13,2023/106,2023,2023Q3,Q3 2023,"Labour Market & Employment; Gender, Race & Ethnicity",Cross-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment
2023/114,The Impact of Compulsory Education on Occupational Sorting and Earning Stability,"Inci Lal, University of Exeter
Ipek Mumcu, University of Exeter",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK, Annual Survey of Hours and Earnings Longitudinal - UK",Office for National Statistics Secure Research Service,2023-07-07,2023/114,2023,2023Q3,Q3 2023,Education & Skills; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Education & Skills
2023/116,Northern Ireland Licensing Review - Economic Impacts,"Damon Morris, University of Sheffield",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Register Employment Survey - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-07-10,2023/116,2023,2023Q3,Q3 2023,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/125,The Disability Employment Gap in Scotland,"Chirsty McFadyen, University of Strathclyde
Allison Catalano, University of Strathclyde",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Annual Population Survey Longitudinal - UK",Office for National Statistics Secure Research Service,2023-07-13,2023/125,2023,2023Q3,Q3 2023,"Labour Market & Employment; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment
2023/135,Methods and analysis to understand who sets up registered businesses,"Felix Bunting, Cabinet Office
Suganya Sivaskantharajah, Cabinet Office
Paul Williamson, Cabinet Office",Digital Economy Act (2017),Office for National Statistics: Bespoke Equalities Data Asset: Companies House - Census 2011 - England and Wales,Office for National Statistics Secure Research Service,2023-08-07,2023/135,2023,2023Q3,Q3 2023,Business & Productivity; Migration & Demographics,Cross-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/153,Estimating the distribution of mortgagors income in the UK,"Martina Fazio, Bank of England
Marco D'Amico, Bank of England",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, New Earnings Survey - Great Britain",Office for National Statistics Secure Research Service,2023-07-28,2023/153,2023,2023Q3,Q3 2023,Housing & Planning; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Housing & Planning
2023/154,Do UK households experience a 'heating-vs-eating' trade-off?,"Edward Manderson, The University of Manchester
Krishna Brijmohun, The University of Manchester",Digital Economy Act (2017),"Office for National Statistics: Consumer and Retail Price Index - UK, Living Costs and Food Survey - UK",Office for National Statistics Secure Research Service,2023-07-28,2023/154,2023,2023Q3,Q3 2023,"Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,"Poverty, Inequality & Living Standards"
2023/155,Loneliness trends from the Opinions and Lifestyle Survey Data from May 2023-24,"Heather McClelland, University of Glasgow",Digital Economy Act (2017),Office for National Statistics: Opinions and Lifestyle Survey - Great Britain,Office for National Statistics Secure Research Service,2023-07-28,2023/155,2023,2023Q3,Q3 2023,Health & Social Care,Single-Dataset,Descriptive Monitoring,Health & Social Care
2023/156,Reach for illiquidity,"Saleem Bahaj, Bank of England
Johannes Matt, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Investment by insurance companies, pension funds and trusts - UK",Office for National Statistics Secure Research Service,2023-07-28,2023/156,2023,2023Q3,Q3 2023,Public Finance & Taxation,Single-Dataset,Descriptive Monitoring,Public Finance & Taxation
2023/157,"Research and development misallocation, and productivity growth","Sergio Feijoo Moreira, University of Bristol",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Structure Database - UK, Business Enterprise Research and Development - Great Britain
DBT: UK Innovation Survey",Office for National Statistics Secure Research Service,2023-07-31,2023/157,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/171,Evaluation of the Community Investment Enterprise Facility,"Christopher Damm, Sheffield Hallam University",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,2023-08-10,2023/171,2023,2023Q3,Q3 2023,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity
2023/173,"Grade Inflation at UK Universities, Attainment and outcomes in UK Universities.","Alexander Vickery, Royal Holloway
Jefferson Frank, Royal Holloway",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-08-17,2023/173,2023,2023Q3,Q3 2023,Education & Skills,Single-Dataset,Descriptive Monitoring,Education & Skills
2023/174,"Geographical inequalities, geographical mobility and social mobility","Xiaowei Xu, Institute for Fiscal Studies
Francesca Foliano, London School of Economics and Political Science",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-08-18,2023/174,2023,2023Q3,Q3 2023,Education & Skills; Labour Market & Employment,Single-Dataset,Inequality / Disparities Analysis,Education & Skills
2023/175,Internal migration of young adults and social mobility,"Lindsey Macmillan, UCL Institute of Education
Francesca Foliano, London School of Economics and Political Science",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 1 Standard Extract - England",Office for National Statistics Secure Research Service,2023-08-18,2023/175,2023,2023Q3,Q3 2023,Migration & Demographics; Education & Skills,Single-Dataset,Life-Course / Trajectory Analysis,Migration & Demographics
2023/176,Analysis of UK international trade performance and drivers using firm level data.,"Luke McDougall, Department for International Trade
Lawrence Ajibola, Department for International Trade
Yaxsaana Sivanathan, Department for International Trade
Mark Montanaro, Department for International Trade
Livia Hull, Department for International Trade
Yoko Lohrer, Department for International Trade
Hannah Palmer, Department for International Trade",Digital Economy Act (2017),"Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Office for National Statistics: International Trade in Services - UK, Annual Business Survey - UK",Office for National Statistics Secure Research Service,2023-08-18,2023/176,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/177,How Does Competition effect Productivity through Innovation: Evidence from the United Kingdom,"Hazera Nessa, The University of Manchester",Digital Economy Act (2017),"DBT: UK Innovation Survey
Office for National Statistics: Annual Business Survey - UK, International Trade in Services - UK, Annual Foreign Direct Investment Survey - UK, Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-08-18,2023/177,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/178,Trends in survival in sickle cell disease in the UK (1995-2022),"Salma Ayis, King's College London
Radoslav Latinovic, Department of Health and Social Care",Digital Economy Act (2017),Office for National Statistics: Death Registrations Finalised - England and Wales,Office for National Statistics Secure Research Service,2023-08-18,2023/178,2023,2023Q3,Q3 2023,Health & Social Care,Single-Dataset,Descriptive Monitoring,Health & Social Care
2023/179,Trends in population health and economic inactivity,"Hannah Randolph, University of Strathclyde
Ciara Crummey, University of Strathclyde",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey - UK,Office for National Statistics Secure Research Service,2023-08-18,2023/179,2023,2023Q3,Q3 2023,Health & Social Care; Labour Market & Employment,Single-Dataset,Descriptive Monitoring,Health & Social Care
2023/181,Assessing the impact of UK Enterprise Zones,"Henry Overman, London School of Economics
Carolin Ioramashvili, University of Sussex
Gonzalo igunacio Nunez Chaim, London School of Economics
NICOLAS FRANCISCO GONZALEZ PAMPILLON, London School of Economics
Helene Donnat, London School of Economics and Political Science
Carmen Mira, London School of Economics
Matias Belacin, London School of Economics",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Annual Business Survey - UK, Annual Respondents Database 2 - UK, Annual Survey of Hours and Earnings - UK, Labour Force Survey Household - UK",Office for National Statistics Secure Research Service,2023-08-18,2023/181,2023,2023Q3,Q3 2023,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/190,Understanding productivity: a macroeconomic approach,"Ali Gokhan Karabilgin, University of Glasgow",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Labour Force Survey Person - UK",Office for National Statistics Secure Research Service,2023-08-30,2023/190,2023,2023Q3,Q3 2023,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/202,"Digital Technology in Work, Innovation, Productivity and Skills","Giuliana Battisti, University of Warwick
Anwar Seid Adem, University of Warwick
Yuan Yuan, University of Warwick",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Low Carbon and Renewable Energy Economy Survey - UK, E-commerce Survey - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings - UK, Business Structure Database - UK, Vacancy Survey - UK, UK Manufacturers Sales by Product Survey, Business Enterprise Research and Development - Northern Ireland
DBT: UK Innovation Survey
Department For Education: Employer Skills Survey and Investment in Training - UK",Office for National Statistics Secure Research Service,2023-09-12,2023/202,2023,2023Q3,Q3 2023,Business & Productivity; Labour Market & Employment; Education & Skills,Multi-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/203,Economic Evaluation of the Aerospace Technology Institute,"Michael Hall, Frazer-Nash Consultancy",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - UK, Business Structure Database - UK, Annual Business Survey - UK",Office for National Statistics Secure Research Service,2023-09-12,2023/203,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/204,"Understanding firm-level R&D, innovation and productivity in the West of England.","Oscar Oliphant, University of Bath
Chris Dimos, University of Bath",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Enterprise Research and Development - Great Britain
DBT: UK Innovation Survey
Department For Education: Employer Skills Survey and Investment in Training - UK",Office for National Statistics Secure Research Service,2023-09-12,2023/204,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/205,Family background and educational attainment across ethnic categories in England,"Alexey Bessudnov, University of Exeter",Digital Economy Act (2017),"Office for National Statistics: Growing Up in England Wave 1, Growing Up in England Wave 2 - Exclusions, Absences and English School Census",Office for National Statistics Secure Research Service,2023-09-18,2023/205,2023,2023Q3,Q3 2023,"Education & Skills; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Education & Skills
2023/206,Skills Imperative 2035 - ASHE and LFS,"Luke Bocock, National Foundation for Educational Research
Michael Scott, National Foundation for Educational Research
Juan Del Pozo Segura, National Foundation for Educational Research",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Longitudinal - UK, Annual Survey of Hours and Earnings Longitudinal - UK",Office for National Statistics Secure Research Service,2023-09-18,2023/206,2023,2023Q3,Q3 2023,Labour Market & Employment; Education & Skills,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2023/207,"Place-based Partnerships on the High Street: Exploring their form, functions, and positive and negative impacts.","Siobhan Prendiville, PricewaterhouseCoopers LLP",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Annual Population Survey - UK, Business Structure Database - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,2023-09-18,2023/207,2023,2023Q3,Q3 2023,Business & Productivity; Labour Market & Employment,Cross-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/209,Sustainable Transport Infrastructure and Car Usage: UK Snapshot,"Richard Harries, The Young Foundation - Institute for Community Studies
Jessica Redmond, The Young Foundation - Institute for Community Studies",Digital Economy Act (2017),Institute for Economic and Social Research: Understanding Society - UK,Office for National Statistics Secure Research Service,2023-09-19,2023/209,2023,2023Q3,Q3 2023,Environment & Agriculture,Single-Dataset,Descriptive Monitoring,Environment & Agriculture
2023/210,Children and the Internet: Examining Risky Behaviours in Online Spaces: An Intersectional Perspective,"Ruth Austin, University of Leeds",Digital Economy Act (2017),Office for National Statistics: Crime Survey for England and Wales,Office for National Statistics Secure Research Service,2023-09-18,2023/210,2023,2023Q3,Q3 2023,Crime & Justice,Single-Dataset,Descriptive Monitoring,Crime & Justice
2023/220,Assessing the value of UK Higher Education: Investigating the differing returns of different degree subjects,"Neil Scott, Price water House coopers
Tessa Wilkinson, PricewaterhouseCoopers LLP
Jake Finney, PricewaterhouseCoopers LLP
Thomas Etheridge, PricewaterhouseCoopers LLP",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Household - UK, Labour Force Survey Person - UK",Office for National Statistics Secure Research Service,2023-09-20,2023/220,2023,2023Q3,Q3 2023,Education & Skills; Labour Market & Employment,Within-Domain Linkage,Outcome Tracking,Education & Skills
2023/221,The Choice of Childcare Mode(s) and its Gendered Consequences on Women and Children,"Cesarine Boinet, University of Strathclyde
Agnese Romiti, University of Strathclyde",Digital Economy Act (2017),"Institute for Economic and Social Research: Understanding Society - UK
Office for National Statistics: Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-09-20,2023/221,2023,2023Q3,Q3 2023,"Education & Skills; Gender, Race & Ethnicity",Cross-Domain Linkage,Inequality / Disparities Analysis,Education & Skills
2023/094,Scottish nurses health outcomes and deprivation,"Iain Maitland Atherton, Edinburgh Napier University",Digital Economy Act (2017),Office for National Statistics: Census 2011,Office for National Statistics Secure Research Service,2023-07-03,2023/094,2023,2023Q3,Q3 2023,"Health & Social Care; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,Health & Social Care
2023/110,Social inequalities in education outcomes in NI,"Laura Dunne, Queen's University Belfast
Erin Early, Queen's University Belfast
Leonor Rodriguez, Queen's University Belfast
Dermot O'Reilly, Queen's University Belfast",Digital Economy Act (2017),Northern Ireland Statistics and Research Agency: EOL,Northern Ireland Statistics and Research Agency,2023-07-06,2023/110,2023,2023Q3,Q3 2023,"Education & Skills; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis,Education & Skills
2023/231,The Transitions of Young Workers in the UK Labour Market,"Antonio Parlavecchio, University of Sheffield
Peter Wright, University of Sheffield
Bert Van Landeghem, University of Sheffield",Digital Economy Act (2017),Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales,Office for National Statistics Secure Research Service,2023-09-27,2023/231,2023,2023Q3,Q3 2023,Labour Market & Employment,Cross-Domain Linkage,Life-Course / Trajectory Analysis,Labour Market & Employment
2023/287,Productivity Study in Liverpool City Region,"Robert Boyle, Liverpool City Region Combined Authority
Sawyer Phinney, Liverpool City Region Combined Authority",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Structure Database - UK",Office for National Statistics Secure Research Service,2023-11-16,2023/287,2023,2023Q4,Q4 2023,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity
2023/241,Intrafamily Transmission of Economic Shocks: Evidence from Mass Layoffs in the UK,"Carl Singleton, University of Reading
Alison Sizer, University of London - University College
Stephen Kastoryano, University of Reading
Michael Simmons, Umea University",Digital Economy Act (2017),Office for National Statistics: ONS Longitudinal Study - England and Wales,Office for National Statistics Secure Research Service,2023-10-12,2023/241,2023,2023Q4,Q4 2023,"Labour Market & Employment; Poverty, Inequality & Living Standards",Single-Dataset,Outcome Tracking,Labour Market & Employment
2023/272,Exploration of the trade-offs between income and unpaid caring responsibilities in Wales,"Ian Thomas, Cardiff University
Matthew Curds, Welsh Government
Katherine Addison, Welsh Government",Digital Economy Act (2017),Office for National Statistics: 2011 Census linked to Benefits and Income - England and Wales,Office for National Statistics Secure Research Service,2023-10-31,2023/272,2023,2023Q4,Q4 2023,"Poverty, Inequality & Living Standards; Health & Social Care",Cross-Domain Linkage,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards"
2023/193,An Impact Evaluation of BBSRCs Collaborative Research and Development Strategic Portfolio,"Nadya Mihaylova, Technopolis
Cristina Rosemberg Montes, Technopolis",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain",Office for National Statistics Secure Research Service,2023-09-27,2023/193,2023,2023Q3,Q3 2023,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/289,Do neighbourhood socioeconomic and environmental determiants predict COVID-19 infection?,"Zhiqiang Feng, The University of Edinburgh
Ruoyu Wang, Queen's University Belfast
Jamie Pearce, The University of Edinburgh",Digital Economy Act (2017),"Office for National Statistics, University of Oxford: COVID-19 Infection Survey - UK",Office for National Statistics Secure Research Service,2023-11-17,2023/289,2023,2023Q4,Q4 2023,COVID-19 & Pandemic; Environment & Agriculture,Single-Dataset,Outcome Tracking,COVID-19 & Pandemic
2023/253,Family Structure in the UK and its Change over Time,"Mikhail Freer, University of Essex",Digital Economy Act (2017),"Office for National Statistics: Census 1961 - Great Britain, Census 1971 - Great Britain, Census 1981 - Great Britain, Census 2011 Household - England and Wales, Census 2001 Household - UK, Census 2001 Individual - UK
NISRA: Census 2011 Household - Northern Ireland
National Records Scotland: Census 2011 Household - Scotland",Office for National Statistics Secure Research Service,2023-10-17,2023/253,2023,2023Q4,Q4 2023,Migration & Demographics,Within-Domain Linkage,Descriptive Monitoring,Migration & Demographics
2023/232,Lifelong learning and skills for longer lives,"Helen Gray (Bewley), Learning and Work
Corin Egglestone, Learning and Work
Lovedeep Vaid, Learning and Work",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,2023-09-27,2023/232,2023,2023Q3,Q3 2023,Education & Skills; Labour Market & Employment,Cross-Domain Linkage,Life-Course / Trajectory Analysis,Education & Skills
2023/218,Workplace mental health and wellbeing practices and productivity,"Stephen Roper, University of Warwick
Rita Nana-Cheraa, University of Warwick",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,2023-10-31,2023/218,2023,2023Q4,Q4 2023,Health & Social Care; Business & Productivity,Single-Dataset,Outcome Tracking,Health & Social Care
2023/260,Business Improvement Districts,"Stefano Cellini, University of Surrey
Francisco Nobre, University of Surrey",Digital Economy Act (2017),"Office for National Statistics: Business Register Employment Survey - UK, Business Structure Database - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-10-25,2023/260,2023,2023Q4,Q4 2023,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/235,Local Labour Market Analysis for Youth Futures Foundation Connected Futures Fund,"Scott Carter, IPSOS MORI
Akshay Choudhary, IPSOS MORI
James Kearney, IPSOS MORI
Madeleine Thornton, IPSOS MORI
Jaimin Shah, IPSOS MORI
Stella Capuano, IPSOS MORI
Anna Sperati, IPSOS MORI",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - UK, Labour Force Survey Longitudinal - UK, Annual Population Survey - UK, Vacancy Survey - UK
Department For Education: Employer Skills Survey and Investment in Training - UK
Institute for Economic and Social Research: Understanding Society - UK
University and Colleges Admission Service: Universities and Colleges Admissions Service - UK",Office for National Statistics Secure Research Service,2023-10-04,2023/235,2023,2023Q4,Q4 2023,Labour Market & Employment; Education & Skills,Multi-Domain Linkage,Descriptive Monitoring,Labour Market & Employment
2023/278,Updating and reviewing intangible assets that are protected by Intellectual Property Rights,"Virag Patel, Intellectual Property Office
Charlotte Guillard, Intellectual Property Office",Digital Economy Act (2017),DBT: UK Innovation Survey,Office for National Statistics Secure Research Service,2023-11-07,2023/278,2023,2023Q4,Q4 2023,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2023/230,Beliefs in Production Networks,"Hugo Monnery, Harvard University
Robert Minton, Federal Reserve Board of Governors",Digital Economy Act (2017),Bank of England: Decision Maker Panel - UK,Office for National Statistics Secure Research Service,2023-09-29,2023/230,2023,2023Q3,Q3 2023,Business & Productivity,Single-Dataset,Descriptive Monitoring,Business & Productivity
2023/211,ESCoE: Local Consumption and National Sustainable Well-being,"Peter Levell, Institute for Fiscal Studies
Martin Weale, King's College London
Lars Nesheim, University College London",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Living Costs and Food Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,2023-09-27,2023/211/a,2023,2023Q3,Q3 2023,"Poverty, Inequality & Living Standards",Within-Domain Linkage,Descriptive Monitoring,"Poverty, Inequality & Living Standards"
2023/288,Evaluation of the Made Smarter Adoption Programme,"Scott Carter, IPSOS MORI
Lucas Haynes, IPSOS MORI
Chris Hale, IPSOS MORI
Jaimin Shah, IPSOS MORI
Anna Sperati, IPSOS MORI",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - UK, Business Structure Database - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-11-17,2023/288,2023,2023Q4,Q4 2023,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/252,Advanced Propulsion Centre Impact Evaluation,"Scott Carter, IPSOS MORI
Chris Hale, IPSOS MORI
Christian Stow, IPSOS MORI
Jaimin Shah, IPSOS MORI
Emilia Kupiec, UK Space Agency
Emily Newport, IPSOS MORI",Digital Economy Act (2017),"Office for National Statistics: Business Enterprise Research and Development - Great Britain, Business Structure Database - UK, Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK",Office for National Statistics Secure Research Service,2023-10-17,2023/252,2023,2023Q4,Q4 2023,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
2023/228,Addressing pre-specified secondary and exploratory objectives in the COVID-19 Infection Survey,"Mahan Ghafari, University of Oxford
David Smith, University of Oxford
Ann Walker, University of Oxford
Thomas House, The University of Manchester
Koen Pouwels, University of Oxford
Paul Birrell, Public Health England
Katrina Lythgoe, University of Oxford
Emma Pritchard, University of Oxford
Jia Wei, University of Oxford
Joshua Blake, University of Cambridge
Lorenzo Pellis, The University of Manchester
John Buckell, University of Oxford
Steven Kemp, University of Oxford
James Hay, University of Oxford
Vilde Elisabeth Dietz, University of Oxford
Isobel Guthrie, University of Oxford",Digital Economy Act (2017),"Office for National Statistics, University of Oxford: COVID-19 Infection Survey - UK, COVID-19 Infection Survey linked to Mortality - England and Wales
ONS; University of Oxford; VOA; DLUHC: COVID-19 Infection Survey linked to VOA and EPC - England and Wales
Office for National Statistics, University of Oxford, NHS England: COVID-19 Infection Survey linked to Combined Vaccination - UK
ONS; University of Oxford; DHSC: COVID-19 Infection Survey linked to NHS Test and Trace - England",Office for National Statistics Secure Research Service,2023-11-07,2023/228,2023,2023Q4,Q4 2023,COVID-19 & Pandemic; Health & Social Care,Within-Domain Linkage,Descriptive Monitoring,COVID-19 & Pandemic
2023/279,ESCoE: Developing a New Linked Employer-Employee Dataset for the UK - Feasibility Study,"Alex Bryson, University of London - University College
John Forth, City University",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Insights and Conditions Survey - UK, Annual Business Survey - UK, Business Register Employment Survey - UK, Annual Survey of Hours and Earnings - UK, Management and Expectations Survey - Great Britain, Monthly Wages and Salary Survey - Great Britain
DBT: Workplace Employment Relations Survey - Great Britain",Office for National Statistics Secure Research Service,2023-11-07,2023/279,2023,2023Q4,Q4 2023,Labour Market & Employment; Business & Productivity; Data Infrastructure & Methodology,Within-Domain Linkage,Methodological / Infrastructure Research,Labour Market & Employment
2023/251,The effects of Working Tax Credit and Child Tax Credit on labour supply in the UK,"Lewis Nicholl, Queen's University Belfast",Digital Economy Act (2017),"Office for National Statistics: Labour Force Survey Person - UK, Labour Force Survey Household - UK",Office for National Statistics Secure Research Service,2023-10-17,2023/251,2023,2023Q4,Q4 2023,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment
2023/271,Impact of Innovation Support Delivered through the National Measurement System (NMS) Programme on Business Outcomes,"Solomon Olakojo, National Physical Laboratory",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Annual Business Survey - UK, Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings Longitudinal - UK",Office for National Statistics Secure Research Service,2023-10-31,2023/271,2023,2023Q4,Q4 2023,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity
